id,name,category,unitPrice
P-1193,Harbor Clock,Apparel,30.13
P-1194,Quartz Rug,Home,9.67
P-1195,Pebble Rug,Electronics,39.1
P-1196,Harbor Kettle,Toys,102.86
P-1197,Pebble Chair,Garden,64.46
P-1198,Nimbus Mug,Garden,236.54
P-1199,Ember Clock,Electronics,232.48
P-1200,Pebble Planter,Apparel,147.43
P-1201,Lumen Chair,Home,86.44
P-1202,Harbor Mug,Grocery,288.79
P-1203,Harbor Chair,Electronics,25.71
P-1204,Verde Lamp,Toys,153.85
P-1205,Pebble Stool,Apparel,205.05
P-1206,Quartz Planter,Home,154.02
P-1207,Onyx Desk,Grocery,23.46
P-1208,Quartz Stool,Grocery,25.91
P-1209,Pebble Lamp,Apparel,101.24
P-1210,Ember Planter,Electronics,185.02
P-1211,Cobalt Lamp,Home,251.9
P-1212,Nimbus Desk,Toys,179.06
P-1213,Ember Planter,Grocery,93.49
P-1214,Quartz Desk,Garden,40.75
P-1215,Onyx Rug,Home,211.72
P-1216,Lumen Chair,Grocery,37.42
P-1217,Verde Desk,Electronics,293.63
P-1218,Quartz Kettle,Toys,251.3
P-1219,Verde Lamp,Grocery,264.13
P-1220,Nimbus Rug,Toys,187.57
P-1221,Lumen Vase,Grocery,299.62
P-1222,Verde Chair,Electronics,153.65
P-1223,Verde Clock,Apparel,92.61
P-1224,Aurora Desk,Home,119.52
P-1225,Aurora Stool,Apparel,121.75
P-1226,Lumen Kettle,Garden,93
P-1227,Ember Chair,Grocery,10.23
P-1228,Ember Mug,Garden,251.4
P-1229,Cobalt Chair,Grocery,294.37
P-1230,Cobalt Mug,Grocery,62.76
P-1231,Onyx Clock,Toys,76.2
P-1232,Harbor Stool,Electronics,233.66
P-1233,Verde Planter,Garden,256.29
P-1234,Onyx Desk,Electronics,283.17
P-1235,Quartz Desk,Electronics,222.73
P-1236,Lumen Rug,Garden,44.27
P-1237,Harbor Vase,Grocery,69.36
P-1238,Cobalt Desk,Electronics,43.97
P-1239,Lumen Lamp,Grocery,267.81
