id,productId,region,units,soldAt
S-100046,P-1060,South,30,2024-10-25T00:00:00.000Z
S-100047,P-1050,North,6,2024-11-23T00:00:00.000Z
S-100048,P-1008,West,62,2024-09-27T00:00:00.000Z
S-100049,P-1162,Central,68,2024-05-30T00:00:00.000Z
S-100050,P-1014,East,28,2024-10-29T00:00:00.000Z
S-100051,P-1053,East,20,2024-08-13T00:00:00.000Z
S-100052,P-1019,East,56,2024-09-25T00:00:00.000Z
S-100053,P-1056,West,79,2024-05-19T00:00:00.000Z
S-100054,P-1170,East,35,2024-07-06T00:00:00.000Z
S-100055,P-1129,South,22,2024-01-16T00:00:00.000Z
S-100056,P-1140,North,78,2024-09-02T00:00:00.000Z
S-100057,P-1082,South,68,2024-02-23T00:00:00.000Z
S-100058,P-1232,South,57,2024-02-11T00:00:00.000Z
S-100059,P-1190,South,35,2024-08-03T00:00:00.000Z
S-100060,P-1084,East,41,2024-12-06T00:00:00.000Z
S-100061,P-1008,South,31,2024-07-14T00:00:00.000Z
S-100062,P-1057,East,54,2024-09-28T00:00:00.000Z
S-100063,P-1151,East,76,2024-04-10T00:00:00.000Z
S-100064,P-1121,Central,14,2024-05-01T00:00:00.000Z
S-100065,P-1046,South,59,2024-03-25T00:00:00.000Z
S-100066,P-1101,North,62,2024-01-30T00:00:00.000Z
S-100067,P-1116,East,13,2024-08-02T00:00:00.000Z
S-100068,P-1239,West,10,2024-06-02T00:00:00.000Z
S-100069,P-1116,West,41,2024-05-02T00:00:00.000Z
S-100070,P-1113,South,2,2024-03-14T00:00:00.000Z
S-100071,P-1061,South,1,2024-01-31T00:00:00.000Z
S-100072,P-1109,East,56,2024-05-31T00:00:00.000Z
S-100073,P-1077,Central,45,2024-02-08T00:00:00.000Z
S-100074,P-1034,North,3,2024-01-07T00:00:00.000Z
S-100075,P-1130,Central,23,2024-02-26T00:00:00.000Z
S-100076,P-1051,North,73,2024-11-14T00:00:00.000Z
S-100077,P-1009,North,38,2024-05-10T00:00:00.000Z
S-100078,P-1099,North,32,2024-08-23T00:00:00.000Z
S-100079,P-1175,Central,53,2024-02-25T00:00:00.000Z
S-100080,P-1080,Central,49,2024-03-30T00:00:00.000Z
S-100081,P-1190,West,15,2024-04-13T00:00:00.000Z
S-100082,P-1136,North,61,2024-02-03T00:00:00.000Z
S-100083,P-1188,Central,66,2024-01-27T00:00:00.000Z
S-100084,P-1070,West,20,2024-08-04T00:00:00.000Z
S-100085,P-1025,South,36,2024-08-01T00:00:00.000Z
S-100086,P-1142,East,74,2024-04-30T00:00:00.000Z
S-100087,P-1173,North,61,2024-02-05T00:00:00.000Z
S-100088,P-1094,Central,17,2024-10-18T00:00:00.000Z
S-100089,P-1207,South,56,2024-07-29T00:00:00.000Z
S-100090,P-1212,West,65,2024-02-28T00:00:00.000Z
S-100091,P-1077,South,63,2024-05-19T00:00:00.000Z
S-100092,P-1087,North,75,2024-02-04T00:00:00.000Z
S-100093,P-1174,East,3,2024-10-02T00:00:00.000Z
S-100094,P-1042,East,75,2024-04-06T00:00:00.000Z
S-100095,P-1195,South,31,2024-06-19T00:00:00.000Z
S-100096,P-1082,Central,15,2024-01-12T00:00:00.000Z
S-100097,P-1201,South,50,2024-09-26T00:00:00.000Z
S-100098,P-1134,East,20,2024-01-13T00:00:00.000Z
S-100099,P-1220,North,76,2024-08-26T00:00:00.000Z
S-100100,P-1210,East,47,2024-11-09T00:00:00.000Z
S-100101,P-1112,East,7,2024-12-25T00:00:00.000Z
S-100102,P-1018,South,39,2024-08-26T00:00:00.000Z
S-100103,P-1037,North,47,2024-08-14T00:00:00.000Z
S-100104,P-1163,West,9,2024-05-29T00:00:00.000Z
S-100105,P-1061,West,62,2024-04-12T00:00:00.000Z
S-100106,P-1151,Central,56,2024-02-03T00:00:00.000Z
S-100107,P-1148,Central,34,2024-01-24T00:00:00.000Z
S-100108,P-1237,West,2,2024-04-11T00:00:00.000Z
S-100109,P-1017,South,62,2024-10-25T00:00:00.000Z
S-100110,P-1009,North,52,2024-03-15T00:00:00.000Z
S-100111,P-1166,Central,75,2024-11-21T00:00:00.000Z
S-100112,P-1179,Central,11,2024-01-29T00:00:00.000Z
S-100113,P-1050,South,42,2024-12-23T00:00:00.000Z
S-100114,P-1171,East,30,2024-07-13T00:00:00.000Z
S-100115,P-1113,East,18,2024-06-03T00:00:00.000Z
S-100116,P-1146,East,35,2024-03-12T00:00:00.000Z
S-100117,P-1093,Central,42,2024-03-07T00:00:00.000Z
S-100118,P-1114,South,64,2024-07-11T00:00:00.000Z
S-100119,P-1045,North,1,2024-05-30T00:00:00.000Z
S-100120,P-1113,East,63,2024-06-13T00:00:00.000Z
S-100121,P-1061,Central,8,2024-07-03T00:00:00.000Z
S-100122,P-1174,South,12,2024-05-22T00:00:00.000Z
S-100123,P-1100,South,63,2024-08-03T00:00:00.000Z
S-100124,P-1020,East,19,2024-02-08T00:00:00.000Z
S-100125,P-1035,West,58,2024-03-18T00:00:00.000Z
S-100126,P-1080,Central,36,2024-04-01T00:00:00.000Z
S-100127,P-1004,East,49,2024-01-05T00:00:00.000Z
S-100128,P-1183,North,58,2024-04-03T00:00:00.000Z
S-100129,P-1175,East,1,2024-01-21T00:00:00.000Z
S-100130,P-1099,Central,1,2024-05-22T00:00:00.000Z
S-100131,P-1147,North,76,2024-10-28T00:00:00.000Z
S-100132,P-1213,North,67,2024-11-18T00:00:00.000Z
S-100133,P-1110,North,18,2024-02-02T00:00:00.000Z
S-100134,P-1173,North,80,2024-01-16T00:00:00.000Z
S-100135,P-1169,East,13,2024-07-30T00:00:00.000Z
S-100136,P-1094,West,7,2024-12-16T00:00:00.000Z
S-100137,P-1181,West,64,2024-11-19T00:00:00.000Z
S-100138,P-1003,Central,64,2024-09-14T00:00:00.000Z
S-100139,P-1160,West,9,2024-01-28T00:00:00.000Z
S-100140,P-1203,North,13,2024-04-08T00:00:00.000Z
S-100141,P-1177,East,78,2024-05-17T00:00:00.000Z
S-100142,P-1162,North,68,2024-12-27T00:00:00.000Z
S-100143,P-1088,North,26,2024-01-19T00:00:00.000Z
S-100144,P-1185,West,62,2024-09-23T00:00:00.000Z
S-100145,P-1057,West,21,2024-12-19T00:00:00.000Z
S-100146,P-1230,North,61,2024-08-01T00:00:00.000Z
S-100147,P-1091,North,38,2024-12-20T00:00:00.000Z
S-100148,P-1121,Central,64,2024-03-24T00:00:00.000Z
S-100149,P-1222,North,59,2024-01-26T00:00:00.000Z
S-100150,P-1162,East,19,2024-02-07T00:00:00.000Z
S-100151,P-1110,West,6,2024-03-12T00:00:00.000Z
S-100152,P-1107,East,64,2024-03-08T00:00:00.000Z
S-100153,P-1003,North,15,2024-01-08T00:00:00.000Z
S-100154,P-1134,South,64,2024-09-02T00:00:00.000Z
S-100155,P-1182,West,49,2024-10-15T00:00:00.000Z
S-100156,P-1086,West,46,2024-11-30T00:00:00.000Z
S-100157,P-1215,North,40,2024-07-10T00:00:00.000Z
S-100158,P-1097,Central,19,2024-02-05T00:00:00.000Z
S-100159,P-1085,North,32,2024-07-14T00:00:00.000Z
S-100160,P-1185,South,61,2024-08-04T00:00:00.000Z
S-100161,P-1041,South,25,2024-12-02T00:00:00.000Z
S-100162,P-1044,North,44,2024-05-10T00:00:00.000Z
S-100163,P-1142,East,42,2024-04-08T00:00:00.000Z
S-100164,P-1060,Central,38,2024-10-31T00:00:00.000Z
S-100165,P-1183,West,25,2024-11-13T00:00:00.000Z
S-100166,P-1045,Central,64,2024-04-27T00:00:00.000Z
S-100167,P-1036,North,27,2024-02-28T00:00:00.000Z
S-100168,P-1167,East,1,2024-02-05T00:00:00.000Z
S-100169,P-1117,West,5,2024-05-01T00:00:00.000Z
S-100170,P-1204,Central,40,2024-07-19T00:00:00.000Z
S-100171,P-1155,North,36,2024-03-28T00:00:00.000Z
S-100172,P-1143,Central,78,2024-01-12T00:00:00.000Z
S-100173,P-1074,Central,57,2024-08-14T00:00:00.000Z
S-100174,P-1181,South,68,2024-03-06T00:00:00.000Z
S-100175,P-1212,Central,3,2024-07-15T00:00:00.000Z
S-100176,P-1097,East,36,2024-08-13T00:00:00.000Z
S-100177,P-1167,North,44,2024-03-30T00:00:00.000Z
S-100178,P-1068,South,32,2024-12-01T00:00:00.000Z
S-100179,P-1109,East,17,2024-08-15T00:00:00.000Z
S-100180,P-1210,North,28,2024-06-25T00:00:00.000Z
S-100181,P-1123,North,77,2024-09-17T00:00:00.000Z
S-100182,P-1071,South,38,2024-02-23T00:00:00.000Z
S-100183,P-1150,South,19,2024-10-22T00:00:00.000Z
S-100184,P-1092,West,38,2024-11-07T00:00:00.000Z
S-100185,P-1077,South,73,2024-10-16T00:00:00.000Z
S-100186,P-1065,Central,64,2024-09-24T00:00:00.000Z
S-100187,P-1166,North,79,2024-08-17T00:00:00.000Z
S-100188,P-1083,South,57,2024-02-12T00:00:00.000Z
S-100189,P-1096,West,56,2024-09-18T00:00:00.000Z
S-100190,P-1110,South,27,2024-05-15T00:00:00.000Z
S-100191,P-1043,East,13,2024-08-29T00:00:00.000Z
S-100192,P-1211,Central,31,2024-10-28T00:00:00.000Z
S-100193,P-1215,East,49,2024-11-26T00:00:00.000Z
S-100194,P-1090,West,7,2024-04-02T00:00:00.000Z
S-100195,P-1146,North,33,2024-10-30T00:00:00.000Z
S-100196,P-1056,West,12,2024-08-14T00:00:00.000Z
S-100197,P-1153,South,74,2024-12-26T00:00:00.000Z
S-100198,P-1097,Central,41,2024-02-05T00:00:00.000Z
S-100199,P-1212,North,74,2024-03-17T00:00:00.000Z
S-100200,P-1161,East,44,2024-11-29T00:00:00.000Z
S-100201,P-1087,North,23,2024-11-17T00:00:00.000Z
S-100202,P-1134,Central,78,2024-07-25T00:00:00.000Z
S-100203,P-1111,West,29,2024-12-02T00:00:00.000Z
S-100204,P-1010,East,21,2024-02-06T00:00:00.000Z
S-100205,P-1225,Central,61,2024-08-08T00:00:00.000Z
S-100206,P-1187,South,42,2024-05-06T00:00:00.000Z
S-100207,P-1022,North,56,2024-05-06T00:00:00.000Z
S-100208,P-1047,North,13,2024-03-28T00:00:00.000Z
S-100209,P-1076,Central,35,2024-11-26T00:00:00.000Z
S-100210,P-1036,West,16,2024-09-13T00:00:00.000Z
S-100211,P-1173,North,50,2024-08-28T00:00:00.000Z
S-100212,P-1160,West,60,2024-10-08T00:00:00.000Z
S-100213,P-1070,Central,32,2024-12-11T00:00:00.000Z
S-100214,P-1032,South,30,2024-08-25T00:00:00.000Z
S-100215,P-1032,North,57,2024-11-05T00:00:00.000Z
S-100216,P-1164,West,23,2024-09-29T00:00:00.000Z
S-100217,P-1042,North,34,2024-08-14T00:00:00.000Z
S-100218,P-1192,East,51,2024-11-21T00:00:00.000Z
S-100219,P-1105,West,55,2024-09-07T00:00:00.000Z
S-100220,P-1198,South,22,2024-07-21T00:00:00.000Z
S-100221,P-1058,West,58,2024-08-21T00:00:00.000Z
S-100222,P-1226,South,38,2024-08-20T00:00:00.000Z
S-100223,P-1125,West,9,2024-09-13T00:00:00.000Z
S-100224,P-1009,South,23,2024-06-12T00:00:00.000Z
S-100225,P-1055,West,41,2024-05-05T00:00:00.000Z
S-100226,P-1101,North,46,2024-03-24T00:00:00.000Z
S-100227,P-1043,North,15,2024-05-18T00:00:00.000Z
S-100228,P-1083,West,41,2024-12-13T00:00:00.000Z
S-100229,P-1215,North,71,2024-12-23T00:00:00.000Z
S-100230,P-1018,East,37,2024-05-22T00:00:00.000Z
S-100231,P-1048,North,23,2024-09-04T00:00:00.000Z
S-100232,P-1194,Central,37,2024-09-30T00:00:00.000Z
S-100233,P-1108,West,37,2024-12-29T00:00:00.000Z
S-100234,P-1114,North,70,2024-02-27T00:00:00.000Z
S-100235,P-1225,North,31,2024-09-19T00:00:00.000Z
S-100236,P-1056,West,23,2024-06-11T00:00:00.000Z
S-100237,P-1121,East,76,2024-07-07T00:00:00.000Z
S-100238,P-1222,East,20,2024-11-27T00:00:00.000Z
S-100239,P-1037,North,26,2024-02-13T00:00:00.000Z
S-100240,P-1049,South,72,2024-09-14T00:00:00.000Z
S-100241,P-1229,Central,42,2024-03-06T00:00:00.000Z
S-100242,P-1078,East,28,2024-05-30T00:00:00.000Z
S-100243,P-1069,South,44,2024-06-30T00:00:00.000Z
S-100244,P-1056,Central,47,2024-05-09T00:00:00.000Z
S-100245,P-1175,North,7,2024-10-04T00:00:00.000Z
S-100246,P-1112,North,51,2024-09-20T00:00:00.000Z
S-100247,P-1164,North,5,2024-10-15T00:00:00.000Z
S-100248,P-1039,South,44,2024-08-17T00:00:00.000Z
S-100249,P-1026,West,6,2024-07-08T00:00:00.000Z
S-100250,P-1201,North,44,2024-02-13T00:00:00.000Z
S-100251,P-1239,West,34,2024-01-07T00:00:00.000Z
S-100252,P-1141,Central,34,2024-09-14T00:00:00.000Z
S-100253,P-1214,South,73,2024-07-01T00:00:00.000Z
S-100254,P-1084,East,71,2024-10-26T00:00:00.000Z
S-100255,P-1030,North,34,2024-03-12T00:00:00.000Z
S-100256,P-1124,West,65,2024-07-12T00:00:00.000Z
S-100257,P-1187,East,21,2024-11-24T00:00:00.000Z
S-100258,P-1193,South,39,2024-06-25T00:00:00.000Z
S-100259,P-1181,Central,45,2024-01-12T00:00:00.000Z
S-100260,P-1216,Central,52,2024-01-12T00:00:00.000Z
S-100261,P-1160,South,33,2024-08-03T00:00:00.000Z
S-100262,P-1189,South,80,2024-01-17T00:00:00.000Z
S-100263,P-1058,West,34,2024-07-24T00:00:00.000Z
S-100264,P-1000,West,52,2024-03-31T00:00:00.000Z
S-100265,P-1166,North,2,2024-09-14T00:00:00.000Z
S-100266,P-1215,Central,38,2024-07-09T00:00:00.000Z
S-100267,P-1024,Central,22,2024-06-30T00:00:00.000Z
S-100268,P-1026,North,26,2024-09-17T00:00:00.000Z
S-100269,P-1172,South,41,2024-10-11T00:00:00.000Z
S-100270,P-1011,East,68,2024-11-05T00:00:00.000Z
S-100271,P-1220,North,41,2024-01-09T00:00:00.000Z
S-100272,P-1015,Central,58,2024-04-01T00:00:00.000Z
S-100273,P-1198,South,22,2024-02-09T00:00:00.000Z
S-100274,P-1209,Central,58,2024-06-11T00:00:00.000Z
S-100275,P-1222,East,17,2024-02-03T00:00:00.000Z
S-100276,P-1096,South,63,2024-11-07T00:00:00.000Z
S-100277,P-1004,West,29,2024-07-14T00:00:00.000Z
S-100278,P-1109,East,68,2024-05-25T00:00:00.000Z
S-100279,P-1161,East,9,2024-11-28T00:00:00.000Z
S-100280,P-1080,North,52,2024-08-18T00:00:00.000Z
S-100281,P-1233,Central,28,2024-06-15T00:00:00.000Z
S-100282,P-1209,Central,20,2024-09-14T00:00:00.000Z
S-100283,P-1179,Central,4,2024-09-08T00:00:00.000Z
S-100284,P-1104,North,9,2024-07-26T00:00:00.000Z
S-100285,P-1202,South,63,2024-12-26T00:00:00.000Z
S-100286,P-1056,South,2,2024-05-23T00:00:00.000Z
S-100287,P-1112,West,57,2024-07-29T00:00:00.000Z
S-100288,P-1225,East,74,2024-07-17T00:00:00.000Z
S-100289,P-1155,South,4,2024-05-10T00:00:00.000Z
S-100290,P-1150,Central,56,2024-10-08T00:00:00.000Z
S-100291,P-1132,South,21,2024-12-02T00:00:00.000Z
S-100292,P-1227,South,39,2024-12-10T00:00:00.000Z
S-100293,P-1014,South,43,2024-11-16T00:00:00.000Z
S-100294,P-1096,North,23,2024-02-27T00:00:00.000Z
S-100295,P-1162,South,33,2024-01-12T00:00:00.000Z
S-100296,P-1088,West,72,2024-06-24T00:00:00.000Z
S-100297,P-1058,North,11,2024-03-06T00:00:00.000Z
S-100298,P-1232,East,30,2024-10-05T00:00:00.000Z
S-100299,P-1187,South,35,2024-09-09T00:00:00.000Z
S-100300,P-1153,North,1,2024-04-16T00:00:00.000Z
S-100301,P-1166,East,31,2024-09-05T00:00:00.000Z
S-100302,P-1171,Central,37,2024-02-26T00:00:00.000Z
S-100303,P-1121,South,26,2024-05-08T00:00:00.000Z
S-100304,P-1011,South,46,2024-01-31T00:00:00.000Z
S-100305,P-1052,East,17,2024-11-17T00:00:00.000Z
S-100306,P-1000,Central,64,2024-08-02T00:00:00.000Z
S-100307,P-1012,South,47,2024-06-06T00:00:00.000Z
S-100308,P-1054,Central,22,2024-04-11T00:00:00.000Z
S-100309,P-1119,Central,34,2024-03-12T00:00:00.000Z
S-100310,P-1193,Central,45,2024-07-11T00:00:00.000Z
S-100311,P-1104,North,1,2024-10-26T00:00:00.000Z
S-100312,P-1078,Central,9,2024-02-10T00:00:00.000Z
S-100313,P-1014,South,70,2024-08-27T00:00:00.000Z
S-100314,P-1217,East,22,2024-12-05T00:00:00.000Z
S-100315,P-1032,North,73,2024-07-09T00:00:00.000Z
S-100316,P-1156,North,33,2024-09-26T00:00:00.000Z
S-100317,P-1090,South,41,2024-08-28T00:00:00.000Z
S-100318,P-1111,West,74,2024-09-30T00:00:00.000Z
S-100319,P-1141,West,52,2024-08-22T00:00:00.000Z
S-100320,P-1231,South,79,2024-07-18T00:00:00.000Z
S-100321,P-1008,East,43,2024-10-15T00:00:00.000Z
S-100322,P-1168,North,44,2024-08-01T00:00:00.000Z
S-100323,P-1048,West,9,2024-02-13T00:00:00.000Z
S-100324,P-1206,Central,28,2024-01-06T00:00:00.000Z
S-100325,P-1079,East,71,2024-04-03T00:00:00.000Z
S-100326,P-1131,South,70,2024-04-01T00:00:00.000Z
S-100327,P-1041,North,35,2024-08-24T00:00:00.000Z
S-100328,P-1128,West,73,2024-12-28T00:00:00.000Z
S-100329,P-1219,West,16,2024-12-08T00:00:00.000Z
S-100330,P-1008,South,68,2024-12-29T00:00:00.000Z
S-100331,P-1171,West,30,2024-05-11T00:00:00.000Z
S-100332,P-1127,East,78,2024-04-10T00:00:00.000Z
S-100333,P-1139,North,64,2024-05-28T00:00:00.000Z
S-100334,P-1029,Central,70,2024-03-27T00:00:00.000Z
S-100335,P-1070,North,48,2024-02-11T00:00:00.000Z
S-100336,P-1196,Central,30,2024-08-05T00:00:00.000Z
S-100337,P-1017,Central,2,2024-04-03T00:00:00.000Z
S-100338,P-1036,Central,68,2024-07-14T00:00:00.000Z
S-100339,P-1131,South,70,2024-11-01T00:00:00.000Z
S-100340,P-1029,West,38,2024-05-19T00:00:00.000Z
S-100341,P-1085,East,1,2024-06-10T00:00:00.000Z
S-100342,P-1046,East,8,2024-01-22T00:00:00.000Z
S-100343,P-1088,West,24,2024-11-17T00:00:00.000Z
S-100344,P-1057,East,27,2024-02-02T00:00:00.000Z
S-100345,P-1036,East,54,2024-04-05T00:00:00.000Z
S-100346,P-1158,West,47,2024-10-19T00:00:00.000Z
S-100347,P-1188,North,72,2024-08-03T00:00:00.000Z
S-100348,P-1069,East,33,2024-06-01T00:00:00.000Z
S-100349,P-1012,West,78,2024-03-09T00:00:00.000Z
S-100350,P-1153,East,77,2024-12-05T00:00:00.000Z
S-100351,P-1215,North,38,2024-03-13T00:00:00.000Z
S-100352,P-1197,South,68,2024-12-17T00:00:00.000Z
S-100353,P-1114,West,29,2024-09-01T00:00:00.000Z
S-100354,P-1112,South,45,2024-08-04T00:00:00.000Z
S-100355,P-1040,East,66,2024-10-07T00:00:00.000Z
S-100356,P-1062,South,27,2024-06-30T00:00:00.000Z
S-100357,P-1146,East,74,2024-07-07T00:00:00.000Z
S-100358,P-1136,East,20,2024-05-10T00:00:00.000Z
S-100359,P-1179,North,3,2024-01-10T00:00:00.000Z
S-100360,P-1222,East,36,2024-11-08T00:00:00.000Z
S-100361,P-1213,North,75,2024-06-25T00:00:00.000Z
S-100362,P-1192,South,20,2024-03-03T00:00:00.000Z
S-100363,P-1019,South,45,2024-07-27T00:00:00.000Z
S-100364,P-1066,Central,4,2024-08-26T00:00:00.000Z
S-100365,P-1174,South,63,2024-10-06T00:00:00.000Z
S-100366,P-1239,South,20,2024-02-22T00:00:00.000Z
S-100367,P-1011,South,40,2024-06-15T00:00:00.000Z
S-100368,P-1009,West,1,2024-01-21T00:00:00.000Z
S-100369,P-1203,West,26,2024-10-30T00:00:00.000Z
S-100370,P-1221,West,52,2024-05-02T00:00:00.000Z
S-100371,P-1084,Central,63,2024-10-23T00:00:00.000Z
S-100372,P-1159,North,37,2024-09-23T00:00:00.000Z
S-100373,P-1166,South,51,2024-03-12T00:00:00.000Z
S-100374,P-1006,South,52,2024-05-04T00:00:00.000Z
S-100375,P-1036,East,40,2024-03-20T00:00:00.000Z
S-100376,P-1180,North,18,2024-11-07T00:00:00.000Z
S-100377,P-1109,Central,45,2024-08-01T00:00:00.000Z
S-100378,P-1045,West,47,2024-12-23T00:00:00.000Z
S-100379,P-1132,South,5,2024-11-22T00:00:00.000Z
S-100380,P-1076,South,9,2024-06-09T00:00:00.000Z
S-100381,P-1151,West,71,2024-08-07T00:00:00.000Z
S-100382,P-1029,South,33,2024-02-16T00:00:00.000Z
S-100383,P-1046,West,9,2024-11-29T00:00:00.000Z
S-100384,P-1088,North,56,2024-04-01T00:00:00.000Z
S-100385,P-1232,West,20,2024-02-18T00:00:00.000Z
S-100386,P-1002,North,44,2024-09-15T00:00:00.000Z
S-100387,P-1145,Central,56,2024-06-10T00:00:00.000Z
S-100388,P-1115,West,65,2024-11-04T00:00:00.000Z
S-100389,P-1229,West,8,2024-08-28T00:00:00.000Z
S-100390,P-1044,South,64,2024-01-10T00:00:00.000Z
S-100391,P-1104,South,20,2024-05-17T00:00:00.000Z
S-100392,P-1000,Central,17,2024-02-18T00:00:00.000Z
S-100393,P-1186,South,72,2024-06-22T00:00:00.000Z
S-100394,P-1216,North,59,2024-09-06T00:00:00.000Z
S-100395,P-1092,Central,58,2024-04-08T00:00:00.000Z
S-100396,P-1166,East,60,2024-07-21T00:00:00.000Z
S-100397,P-1135,Central,4,2024-05-05T00:00:00.000Z
S-100398,P-1179,West,9,2024-02-10T00:00:00.000Z
S-100399,P-1213,North,13,2024-05-05T00:00:00.000Z
S-100400,P-1181,West,18,2024-02-17T00:00:00.000Z
S-100401,P-1044,South,6,2024-10-16T00:00:00.000Z
S-100402,P-1126,North,69,2024-02-09T00:00:00.000Z
S-100403,P-1204,South,5,2024-02-23T00:00:00.000Z
S-100404,P-1191,North,61,2024-11-13T00:00:00.000Z
S-100405,P-1006,South,66,2024-07-03T00:00:00.000Z
S-100406,P-1164,South,45,2024-09-10T00:00:00.000Z
S-100407,P-1192,South,1,2024-12-10T00:00:00.000Z
S-100408,P-1200,West,7,2024-06-26T00:00:00.000Z
S-100409,P-1012,East,22,2024-12-27T00:00:00.000Z
S-100410,P-1049,North,33,2024-07-24T00:00:00.000Z
S-100411,P-1059,Central,35,2024-08-11T00:00:00.000Z
S-100412,P-1127,East,7,2024-06-12T00:00:00.000Z
S-100413,P-1118,North,72,2024-06-17T00:00:00.000Z
S-100414,P-1144,South,73,2024-09-08T00:00:00.000Z
S-100415,P-1153,North,40,2024-02-16T00:00:00.000Z
S-100416,P-1236,East,25,2024-03-30T00:00:00.000Z
S-100417,P-1078,South,61,2024-11-24T00:00:00.000Z
S-100418,P-1090,West,63,2024-07-17T00:00:00.000Z
S-100419,P-1208,West,60,2024-09-17T00:00:00.000Z
S-100420,P-1053,East,70,2024-11-11T00:00:00.000Z
S-100421,P-1032,North,1,2024-12-05T00:00:00.000Z
S-100422,P-1003,Central,57,2024-04-17T00:00:00.000Z
S-100423,P-1117,Central,1,2024-01-08T00:00:00.000Z
S-100424,P-1063,West,72,2024-06-28T00:00:00.000Z
S-100425,P-1109,Central,25,2024-01-12T00:00:00.000Z
S-100426,P-1174,East,4,2024-06-15T00:00:00.000Z
S-100427,P-1070,North,64,2024-04-26T00:00:00.000Z
S-100428,P-1052,South,44,2024-09-05T00:00:00.000Z
S-100429,P-1047,West,37,2024-04-09T00:00:00.000Z
S-100430,P-1182,East,67,2024-07-24T00:00:00.000Z
S-100431,P-1007,Central,73,2024-08-03T00:00:00.000Z
S-100432,P-1201,Central,53,2024-01-22T00:00:00.000Z
S-100433,P-1005,South,70,2024-12-20T00:00:00.000Z
S-100434,P-1111,Central,40,2024-01-26T00:00:00.000Z
S-100435,P-1232,East,61,2024-12-09T00:00:00.000Z
S-100436,P-1230,North,78,2024-01-14T00:00:00.000Z
S-100437,P-1066,West,5,2024-02-21T00:00:00.000Z
S-100438,P-1010,North,6,2024-07-11T00:00:00.000Z
S-100439,P-1106,South,80,2024-01-19T00:00:00.000Z
S-100440,P-1100,West,61,2024-10-05T00:00:00.000Z
S-100441,P-1153,Central,4,2024-06-27T00:00:00.000Z
S-100442,P-1129,West,46,2024-04-27T00:00:00.000Z
S-100443,P-1198,West,42,2024-09-15T00:00:00.000Z
S-100444,P-1066,East,50,2024-05-31T00:00:00.000Z
S-100445,P-1235,Central,38,2024-01-05T00:00:00.000Z
S-100446,P-1055,Central,31,2024-07-10T00:00:00.000Z
